PIRITUBA
FREGUESIA DO O
JARAGUA
BRASILANDIA
VILA GUILHERME
VILA MARIA
VILA MEDEIROS
CASA VERDE
CACHOEIRINHA
LIMAO
JACANA
TREMEMBE
MANDAQUI
SANTANA
TUCURUVI
ANHANGUERA

CAMPO LIMPO
CAPAO REDONDO
VILA ANDRADE
JARDIM ANGELA
JARDIM SAO LUIS
SOCORRO
CIDADE DUTRA
GRAJAU
MARSILAC
PARELHEIROS
SANTO AMARO
CAMPO GRANDE
CAMPO BELO
JABAQUARA
SACOMA
CURSINO
IPIRANGA
MOEMA
SAUDE
VILA MARIANA
PEDREIRA
CIDADE ADEMAR

ARTUR ALVIM
PENHA
CANGAIBA
VILA MATILDE
PONTE RASA
ERMELINO MATARAZZO
VILA CURUCA
ITAIM PAULISTA
GUAIANASES
LAJEADO
MOOCA
PARI
TATUAPE
AGUA RASA
BELEM
BRAS
CARRAO
VILA FORMOSA
ARICANDUVA
SAO MATEUS
SAO RAFAEL
IGUATEMI
VILA PRUDENTE
SAO LUCAS
VILA JACUI
SAO MIGUEL
JARDIM HELENA
CIDADE LIDER
PARQUE DO CARMO
JOSE BONIFACIO
ITAQUERA
CIDADE TIRADENTES
SAPOPEMBA

SAO DOMINGOS
BARRA FUNDA
PERDIZES
VILA LEOPOLDINA
JAGUARA
LAPA
JAGUARE
MORUMBI
RIO PEQUENO
VILA SONIA
BUTANTA
RAPOSO TAVARES
PINHEIROS
ALTO DE PINHEIROS
ITAIM BIBI
JARDIM PAULISTA
PERUS

REPUBLICA
SANTA CECILIA
SE
BELA VISTA
BOM RETIRO
CAMBUCI
CONSOLACAO
LIBERDADE
