property_id,district,property_type,total_price,condo_fee,area,bedroom_qnt,bathroom_qnt,parking_spaces_qnt,sq_m_price
2783005470,tucuruvi,1,335000.0,110.0,45.0,2.0,1.0,0.0,7444
2783008823,tucuruvi,1,270000.0,100.0,40.0,2.0,1.0,0.0,6750
2783006852,tucuruvi,2,230000.0,150.0,32.0,1.0,1.0,0.0,7188
2783007871,tucuruvi,1,270000.0,100.0,40.0,2.0,1.0,0.0,6750
2771744612,tucuruvi,1,387400.0,0.0,128.0,2.0,2.0,2.0,3027
2777525563,tucuruvi,2,530000.0,615.0,105.0,2.0,2.0,1.0,5048
2770950614,tucuruvi,2,407000.0,0.0,44.0,2.0,2.0,1.0,9250
2783010942,tucuruvi,2,255000.0,100.0,37.0,2.0,1.0,0.0,6892
2769600614,tucuruvi,2,315000.0,0.0,35.0,2.0,1.5,0.0,9000
2743735318,tucuruvi,2,290000.0,0.0,43.0,2.0,1.0,0.5,6744
2783009486,tucuruvi,1,279000.0,1.0,28.0,1.0,1.0,1.0,9964
2783010175,tucuruvi,1,205000.0,0.0,25.0,1.0,1.0,0.0,8200
2760217960,tucuruvi,2,434600.0,600.0,47.0,2.0,1.0,1.0,9247
2783006902,tucuruvi,1,380000.0,0.0,45.0,2.0,1.0,1.0,8444
2783004890,tucuruvi,2,399000.0,150.0,50.0,2.0,1.0,1.0,7980
2763022625,tucuruvi,2,220000.0,150.0,33.0,1.0,1.0,0.0,6667
2783011157,tucuruvi,2,530000.0,600.0,57.0,2.0,2.0,1.0,9298
2783008232,tucuruvi,1,225000.0,200.0,48.0,1.0,1.0,0.0,4688
2783010833,tucuruvi,1,300000.0,0.0,42.0,2.0,1.0,1.0,7143
2783008220,tucuruvi,1,295000.0,100.0,40.0,2.0,1.0,0.0,7375
2783010778,tucuruvi,1,205000.0,0.0,25.0,1.0,1.0,0.0,8200
2783011416,tucuruvi,1,275000.0,100.0,40.0,2.0,1.0,0.0,6875
2783011725,tucuruvi,1,269000.0,120.0,39.0,2.0,1.0,0.0,6897
2758718933,tucuruvi,2,319190.0,200.0,37.0,2.0,1.0,0.0,8627
2660224260,tucuruvi,1,959000.0,0.0,200.0,3.0,5.0,6.0,4795
2783010619,tucuruvi,2,325000.0,250.0,30.0,1.0,1.0,0.0,10833
2783004457,tucuruvi,1,300000.0,0.0,42.0,2.0,1.0,1.0,7143
